County_FIPS_x,County,state_FIPS,State,pop_Year,pop_Population,pop_merge_indicator,pov_poverty_rate_percent,pov_merge_indicator,minc_median_income_USD_2021,minc_merge_indicator,state_county,opioid_YEAR,opioid_State,opioid_County,opioid_morphine_equivalent_g,opioid_state_county_yr,opioid_merge_indicator,FIPS|YEAR,County_FIPS_y,mort_year,mort_overdose_deaths,mort_merge_indicator,predicted_overdose_deaths_stochastic,_merge,pop_log_population,grams_morphine_per_cap,overdose_deaths_per_cap
01005,BARBOUR,01,AL,2021,24533,both,23.0,both,"38,649",both,AL|BARBOUR,2013,AL,BARBOUR,9774.7547738625,AL|BARBOUR|2013,both,01005|2013,,,10.584136804464848,Random Forest Predicted Values,10.584136804464848,both,10.107774429000033,0.3984329178601272,0.0004076142338890474
01005,BARBOUR,01,AL,2021,24533,both,23.0,both,"38,649",both,AL|BARBOUR,2014,AL,BARBOUR,9099.138135,AL|BARBOUR|2014,both,01005|2014,,,9.329882627835982,Random Forest Predicted Values,9.329882627835982,both,10.107774429000033,0.37089382199486404,0.00036685281050014267
01005,BARBOUR,01,AL,2021,24533,both,23.0,both,"38,649",both,AL|BARBOUR,2015,AL,BARBOUR,8538.4047075,AL|BARBOUR|2015,both,01005|2015,,,8.812407685146434,Random Forest Predicted Values,8.812407685146434,both,10.107774429000033,0.34803752934822485,0.0003260913871112379
01007,BIBB,01,AL,2021,22359,both,20.6,both,"48,454",both,AL|BIBB,2006,AL,BIBB,6278.096539499999,AL|BIBB|2006,both,01007|2006,,,11.765666578374999,Random Forest Predicted Values,11.765666578374999,both,10.014984203549803,0.2807861057963236,0.0004919719128762467
01007,BIBB,01,AL,2021,22359,both,20.6,both,"48,454",both,AL|BIBB,2007,AL,BIBB,7109.8245855,AL|BIBB|2007,both,01007|2007,,,10.029982552984064,Random Forest Predicted Values,10.029982552984064,both,10.014984203549803,0.31798490923118206,0.00044724719352386063
01007,BIBB,01,AL,2021,22359,both,20.6,both,"48,454",both,AL|BIBB,2008,AL,BIBB,8592.9716075,AL|BIBB|2008,both,01007|2008,,,10.330961859377256,Random Forest Predicted Values,10.330961859377256,both,10.014984203549803,0.3843182435484592,0.00044724719352386063
01007,BIBB,01,AL,2021,22359,both,20.6,both,"48,454",both,AL|BIBB,2009,AL,BIBB,8668.2355313625,AL|BIBB|2009,both,01007|2009,,,8.799637569580623,Random Forest Predicted Values,8.799637569580623,both,10.014984203549803,0.38768440142056887,0.0003577977548190885
01007,BIBB,01,AL,2021,22359,both,20.6,both,"48,454",both,AL|BIBB,2010,AL,BIBB,9218.386559999999,AL|BIBB|2010,both,01007|2010,,,9.70303926084974,Random Forest Predicted Values,9.70303926084974,both,10.014984203549803,0.4122897517778075,0.0004025224741714746
01007,BIBB,01,AL,2021,22359,both,20.6,both,"48,454",both,AL|BIBB,2011,AL,BIBB,10732.565910225,AL|BIBB|2011,both,01007|2011,,,10.375491730807273,Random Forest Predicted Values,10.375491730807273,both,10.014984203549803,0.48001099826579896,0.00044724719352386063
01007,BIBB,01,AL,2021,22359,both,20.6,both,"48,454",both,AL|BIBB,2012,AL,BIBB,11418.2132738625,AL|BIBB|2012,both,01007|2012,,,9.080555423968478,Random Forest Predicted Values,9.080555423968478,both,10.014984203549803,0.5106763841791896,0.0004025224741714746
01007,BIBB,01,AL,2021,22359,both,20.6,both,"48,454",both,AL|BIBB,2013,AL,BIBB,11946.462645,AL|BIBB|2013,both,01007|2013,,,10.647195449825714,Random Forest Predicted Values,10.647195449825714,both,10.014984203549803,0.5343021890513887,0.00044724719352386063
01007,BIBB,01,AL,2021,22359,both,20.6,both,"48,454",both,AL|BIBB,2014,AL,BIBB,12889.481025,AL|BIBB|2014,both,01007|2014,,,9.645311264361652,Random Forest Predicted Values,9.645311264361652,both,10.014984203549803,0.5764784214410305,0.0004025224741714746
01007,BIBB,01,AL,2021,22359,both,20.6,both,"48,454",both,AL|BIBB,2015,AL,BIBB,12270.68622,AL|BIBB|2015,both,01007|2015,,,9.962340263753797,Random Forest Predicted Values,9.962340263753797,both,10.014984203549803,0.5488029974506909,0.0004025224741714746
01009,BLOUNT,01,AL,2021,59079,both,12.0,both,"56,894",both,AL|BLOUNT,2006,AL,BLOUNT,10418.4233300875,AL|BLOUNT|2006,both,01009|2006,,,10.909371137856477,Random Forest Predicted Values,10.909371137856477,both,10.986630810300307,0.17634732019985952,0.0001692648826148039
01009,BLOUNT,01,AL,2021,59079,both,12.0,both,"56,894",both,AL|BLOUNT,2007,AL,BLOUNT,10636.33568895,AL|BLOUNT|2007,both,01009|2007,,,13.757912868753252,Random Forest Predicted Values,13.757912868753252,both,10.986630810300307,0.1800358111841771,0.00022004434739924508
01009,BLOUNT,01,AL,2021,59079,both,12.0,both,"56,894",both,AL|BLOUNT,2008,AL,BLOUNT,11026.019067725,AL|BLOUNT|2008,both,01009|2008,01009,2008.0,15.0,Actual Values (not missing),,left_only,10.986630810300307,0.18663178232070615,0.00025389732392220584
01009,BLOUNT,01,AL,2021,59079,both,12.0,both,"56,894",both,AL|BLOUNT,2009,AL,BLOUNT,12821.9467163625,AL|BLOUNT|2009,both,01009|2009,,,11.592154091117505,Random Forest Predicted Values,11.592154091117505,both,10.986630810300307,0.2170305305838369,0.0001861913708762843
01009,BLOUNT,01,AL,2021,59079,both,12.0,both,"56,894",both,AL|BLOUNT,2010,AL,BLOUNT,13647.039724087499,AL|BLOUNT|2010,both,01009|2010,,,10.38004946993458,Random Forest Predicted Values,10.38004946993458,both,10.986630810300307,0.23099645769372365,0.0001692648826148039
01009,BLOUNT,01,AL,2021,59079,both,12.0,both,"56,894",both,AL|BLOUNT,2011,AL,BLOUNT,16131.819716587499,AL|BLOUNT|2011,both,01009|2011,,,12.562616874238808,Random Forest Predicted Values,12.562616874238808,both,10.986630810300307,0.27305505706913624,0.0002031178591377647
