FIPS*,Name,RUC Code,All people in poverty (2021) Percent,Children ages 0-17 in poverty (2021) Percent
13291,Union,8,12,21.2
13293,Upson,6,18.8,29.1
13295,Walker,2,14.2,20.4
13297,Walton,1,10.7,15.1
13299,Ware,5,24.3,34.4
13301,Warren,8,25.6,40.1
13303,Washington,7,22.6,33.2
13305,Wayne,6,24.7,32.3
13307,Webster,8,20.4,31.9
13309,Wheeler,9,33.2,34.8
13311,White,8,12.5,19.8
13313,Whitfield,3,13.4,19.4
13315,Wilcox,9,27.6,35.5
13317,Wilkes,8,20.1,33.6
13319,Wilkinson,8,21.2,35.7
13321,Worth,3,20.6,32.2
41000,Oregon,,12.2,13.8
41001,Baker,7,16,20.4
41003,Benton,3,17.3,11.4
41005,Clackamas,1,8.4,8.9
41007,Clatsop,4,12.9,16.9
41009,Columbia,1,10.2,12.5
41011,Coos,5,17.4,24.4
41013,Crook,3,12,16.6
41015,Curry,7,14.8,22.4
41017,Deschutes,3,8.7,10.1
41019,Douglas,4,16.5,22.1
41021,Gilliam,9,10.4,14.8
41023,Grant,9,15.6,21.3
41025,Harney,9,16.2,22.5
41027,Hood River,6,10.9,13.1
41029,Jackson,3,13.5,15.5
41031,Jefferson,3,15.9,22.6
41033,Josephine,3,16.8,23.6
41035,Klamath,5,19.1,23.9
41037,Lake,9,15.7,20.1
41039,Lane,2,14.4,14.8
41041,Lincoln,5,15.2,22.1
41043,Linn,3,12.1,14.5
41045,Malheur,6,20,24.4
41047,Marion,2,13.3,16
41049,Morrow,8,13.8,15.7
41051,Multnomah,1,12.4,12.7
41053,Polk,2,11,12.6
41055,Sherman,9,12.8,18.8
41057,Tillamook,7,14.6,21.3
41059,Umatilla,4,13.2,16.4
41061,Union,7,17.5,22
41063,Wallowa,9,12.9,17.4
41065,Wasco,7,13.3,18.5
41067,Washington,1,8.6,9.1
41069,Wheeler,9,17.4,33
41071,Yamhill,1,10.9,12.1
53000,Washington,,9.9,12
53001,Adams,6,16,21.1
53003,Asotin,3,13.9,21.2
53005,Benton,2,10.6,13.4
53007,Chelan,3,10.8,13.7
53009,Clallam,5,12,18.5
53011,Clark,1,9,11.2
53013,Columbia,8,13.2,20.4
53015,Cowlitz,3,12.6,15.9
53017,Douglas,3,10,14.1
53019,Ferry,8,17.5,30.5
53021,Franklin,2,11.8,14.7
53023,Garfield,8,13.2,18.1
53025,Grant,5,11.7,14.6
53027,Grays Harbor,4,13.7,20.8
53029,Island,4,8.1,9.9
53031,Jefferson,6,11.2,20.2
53033,King,1,9.3,10.4
53035,Kitsap,2,8.7,9.8
53037,Kittitas,4,14.4,13.2
53039,Klickitat,9,13,19.6
53041,Lewis,4,13.5,16.6
53043,Lincoln,8,11.3,15.2
53045,Mason,4,12.6,19.2
53047,Okanogan,6,16,20.9
53049,Pacific,7,13.4,20.2
53051,Pend Oreille,8,15.9,24.9
53053,Pierce,1,8.2,10
53055,San Juan,9,10.8,16.5
53057,Skagit,3,11.6,14.8
53059,Skamania,1,10.9,14.2
53061,Snohomish,1,7.2,7.9
53063,Spokane,2,11.2,12.2
53065,Stevens,2,13.6,20.1
53067,Thurston,2,9.9,11.7
53069,Wahkiakum,8,11.7,21.6
53071,Walla Walla,3,12.1,14.8
53073,Whatcom,3,13,15.3
53075,Whitman,4,18.1,12.6
53077,Yakima,2,14.7,19.7
12000,Florida,,13.2,18.4
12001,Alachua,2,19.1,16.2
12003,Baker,1,16.1,22.3
12005,Bay,3,13.9,23.8
12007,Bradford,6,19.1,24.8
12009,Brevard,2,11.3,17.3
12011,Broward,1,12.8,16.5
12013,Calhoun,8,20.6,28.8
12015,Charlotte,3,10.9,19.2
12017,Citrus,3,15.5,24.9
12019,Clay,1,8,12.1
12021,Collier,2,10.4,17.3
