,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,Median Household Income (2021),% of State Median HH Income
08013,"Boulder County, CO",4.1,3.1,2.6,2.2,2.6,2.3,5.7,4.4,2.6,"$90,327",109.8%
08014,"Broomfield County/city, CO",4.2,3.2,2.8,2.4,2.7,2.4,6.1,4.6,2.6,"$106,413",129.4%
08015,"Chaffee County, CO",4.3,3.3,2.5,2.2,2.5,2.3,5.9,4.4,2.8,"$65,987",80.2%
08017,"Cheyenne County, CO",2.9,2.6,2.1,1.6,1.7,1.5,2.2,2.5,1.9,"$58,544",71.2%
08019,"Clear Creek County, CO",4.6,3.5,3.0,2.4,2.8,2.4,8.1,5.6,3.0,"$78,312",95.2%
08021,"Conejos County, CO",7.8,5.5,4.6,3.9,4.0,3.5,5.2,5.1,3.3,"$45,931",55.9%
08023,"Costilla County, CO",9.0,6.2,4.6,3.3,4.1,3.8,6.7,6.4,4.2,"$35,416",43.1%
08025,"Crowley County, CO",5.9,4.3,3.4,2.9,4.1,4.1,5.1,5.6,3.8,"$38,049",46.3%
08027,"Custer County, CO",4.6,3.4,3.0,2.8,3.4,2.9,4.7,4.3,3.0,"$63,505",77.2%
08029,"Delta County, CO",7.0,5.5,4.7,3.6,3.7,3.2,6.1,5.7,3.6,"$52,403",63.7%
08031,"Denver County/city, CO",4.8,3.6,3.0,2.5,2.9,2.6,7.6,5.9,3.1,"$81,262",98.8%
08033,"Dolores County, CO",3.9,3.0,3.7,2.7,2.7,2.9,6.4,5.0,3.0,"$55,157",67.1%
08035,"Douglas County, CO",4.0,3.0,2.5,2.2,2.6,2.3,5.3,4.2,2.5,"$129,839",157.9%
08037,"Eagle County, CO",4.2,3.0,2.6,2.2,2.5,2.2,8.9,4.8,2.6,"$94,928",115.4%
08039,"Elbert County, CO",4.3,3.0,2.5,2.2,2.6,2.1,4.3,3.9,2.5,"$114,853",139.7%
08041,"El Paso County, CO",6.0,4.4,3.6,3.0,3.7,3.2,6.7,5.7,3.3,"$79,094",96.2%
08043,"Fremont County, CO",8.2,5.9,4.9,4.0,4.9,4.4,7.2,7.5,4.8,"$51,732",62.9%
08045,"Garfield County, CO",5.2,4.0,3.3,2.7,3.0,2.6,6.3,5.1,3.0,"$78,940",96.0%
08047,"Gilpin County, CO",4.4,3.0,2.3,1.9,2.4,2.2,10.8,6.1,2.8,"$82,370",100.2%
08049,"Grand County, CO",4.0,3.1,2.6,2.1,2.5,2.1,7.9,4.6,2.7,"$78,779",95.8%
08051,"Gunnison County, CO",4.0,2.8,2.2,1.9,2.3,2.1,6.2,4.0,2.5,"$63,872",77.7%
08053,"Hinsdale County, CO",3.7,3.0,2.2,2.1,2.5,3.2,3.8,3.8,2.6,"$66,213",80.5%
08055,"Huerfano County, CO",10.0,7.4,6.0,5.3,6.1,5.5,8.8,8.6,6.2,"$46,798",56.9%
08057,"Jackson County, CO",3.6,3.6,2.6,1.7,2.4,2.3,3.9,3.6,2.2,"$55,535",67.5%
08059,"Jefferson County, CO",4.5,3.4,2.8,2.4,2.8,2.5,6.6,5.1,2.8,"$94,401",114.8%
08061,"Kiowa County, CO",3.3,2.5,1.9,1.6,1.7,1.5,2.2,3.5,1.9,"$61,430",74.7%
08063,"Kit Carson County, CO",3.0,2.3,2.0,1.6,1.9,1.6,2.6,3.2,2.0,"$56,272",68.4%
08065,"Lake County, CO",4.6,3.7,2.7,2.0,2.5,2.3,7.6,4.8,2.6,"$64,416",78.3%
08067,"La Plata County, CO",4.2,3.3,2.7,2.3,2.8,2.4,6.4,5.6,3.1,"$74,774",90.9%
08069,"Larimer County, CO",4.2,3.2,2.7,2.3,2.6,2.3,5.9,4.8,2.7,"$78,681",95.7%
08071,"Las Animas County, CO",7.5,5.4,4.8,3.7,4.4,3.8,6.9,7.0,4.7,"$42,708",51.9%
08073,"Lincoln County, CO",4.0,3.3,2.5,1.9,2.3,2.2,4.2,4.6,2.9,"$51,975",63.2%
08075,"Logan County, CO",3.8,2.9,2.8,2.2,2.6,2.3,4.3,4.8,2.8,"$53,234",64.7%
08077,"Mesa County, CO",6.2,5.3,5.1,3.7,3.8,3.3,7.0,5.9,3.5,"$63,531",77.3%
08079,"Mineral County, CO",5.0,3.4,2.2,1.7,2.6,2.3,5.4,5.4,2.9,"$62,213",75.7%
08081,"Moffat County, CO",5.7,4.4,3.8,3.1,3.4,3.3,5.6,5.2,3.2,"$64,133",78.0%
08083,"Montezuma County, CO",6.1,5.5,4.7,3.7,4.5,4.1,6.7,6.0,3.8,"$53,337",64.9%
08085,"Montrose County, CO",6.8,4.9,4.0,3.0,3.4,3.0,6.2,5.5,3.4,"$56,686",68.9%
08087,"Morgan County, CO",4.6,3.7,3.3,2.3,2.7,2.5,5.0,5.3,3.3,"$61,849",75.2%
08089,"Otero County, CO",7.6,5.6,4.5,3.9,4.7,3.9,5.7,6.6,4.2,"$45,658",55.5%
08091,"Ouray County, CO",5.8,4.2,3.6,2.7,3.2,2.9,7.5,4.9,3.2,"$80,686",98.1%
08093,"Park County, CO",4.6,3.3,2.7,2.2,2.6,2.4,5.4,4.2,2.6,"$84,361",102.6%
08095,"Phillips County, CO",3.3,2.3,1.9,1.5,1.8,1.5,2.5,3.1,2.1,"$56,577",68.8%
08097,"Pitkin County, CO",4.8,3.7,3.2,2.9,3.5,3.1,9.8,6.0,3.3,"$96,316",117.1%
08099,"Prowers County, CO",4.7,3.9,3.1,2.4,3.1,2.5,4.1,4.9,2.9,"$48,337",58.8%
08101,"Pueblo County, CO",7.3,5.4,4.6,4.0,4.5,3.9,7.6,8.0,4.5,"$56,311",68.5%
08103,"Rio Blanco County, CO",5.9,5.1,4.8,3.6,3.9,3.5,5.1,6.0,3.8,"$65,334",79.5%
08105,"Rio Grande County, CO",9.2,6.1,4.7,4.0,4.6,4.0,6.7,6.9,4.3,"$52,353",63.7%
08107,"Routt County, CO",4.1,3.1,2.5,2.2,2.5,2.1,7.4,4.6,2.6,"$93,776",114.0%
08109,"Saguache County, CO",8.7,5.9,4.7,4.1,4.4,3.9,6.6,6.3,3.5,"$43,366",52.7%
08111,"San Juan County, CO",5.3,4.0,3.5,2.1,2.9,2.9,6.2,3.9,2.7,"$54,146",65.8%
08113,"San Miguel County, CO",4.7,3.6,3.1,2.6,3.2,2.7,10.2,5.5,3.2,"$79,742",97.0%
08115,"Sedgwick County, CO",4.6,3.2,2.2,2.0,2.5,1.9,3.3,4.0,2.7,"$45,645",55.5%
08117,"Summit County, CO",3.4,2.4,2.0,1.7,2.0,1.7,9.2,4.4,2.3,"$90,297",109.8%
08119,"Teller County, CO",5.8,4.3,3.5,3.0,3.4,3.0,7.0,5.0,3.0,"$76,715",93.3%
08121,"Washington County, CO",3.1,2.5,2.1,1.8,2.3,1.9,2.9,3.5,2.4,"$57,522",70.0%
08123,"Weld County, CO",4.4,3.7,3.3,2.5,2.8,2.5,6.5,5.8,3.3,"$84,826",103.2%
08125,"Yuma County, CO",3.3,2.5,2.0,1.5,1.9,1.5,2.6,3.0,2.1,"$56,161",68.3%
23000,Maine,5.6,4.4,3.8,3.4,3.2,2.9,5.1,4.7,2.8,"$64,823",100.0%
23001,"Androscoggin County, ME",5.4,4.2,3.6,3.2,3.1,2.8,5.1,5.0,2.9,"$61,411",94.7%
23003,"Aroostook County, ME",7.5,5.9,5.4,4.9,4.5,4.4,5.1,5.8,4.0,"$51,770",79.9%
23005,"Cumberland County, ME",4.4,3.4,2.9,2.6,2.5,2.3,4.9,4.1,2.3,"$80,484",124.2%
23007,"Franklin County, ME",6.5,4.8,4.5,4.1,3.8,3.7,5.7,5.4,3.4,"$52,295",80.7%
23009,"Hancock County, ME",6.7,5.6,4.5,3.9,3.6,3.3,5.4,5.0,3.4,"$57,001",87.9%
23011,"Kennebec County, ME",5.3,4.3,3.6,3.3,3.1,2.8,4.6,4.4,2.7,"$60,449",93.3%
23013,"Knox County, ME",5.1,4.1,3.5,3.2,3.0,2.8,5.0,4.5,2.9,"$68,786",106.1%
23015,"Lincoln County, ME",5.9,4.4,3.7,3.3,3.1,2.8,4.9,4.5,2.8,"$65,638",101.3%
23017,"Oxford County, ME",7.0,5.5,4.6,3.9,3.7,3.4,6.1,5.7,3.2,"$51,872",80.0%
23019,"Penobscot County, ME",6.1,4.7,4.3,3.8,3.6,3.2,5.0,4.8,3.0,"$56,261",86.8%
23021,"Piscataquis County, ME",7.2,5.5,5.0,4.1,3.9,3.6,5.1,5.1,3.7,"$49,999",77.1%
23023,"Sagadahoc County, ME",4.5,3.5,3.0,2.8,2.6,2.2,4.4,3.8,2.3,"$75,624",116.7%
23025,"Somerset County, ME",7.8,6.6,5.6,5.0,4.6,4.3,6.2,6.3,4.0,"$51,040",78.7%
23027,"Waldo County, ME",6.0,5.2,4.2,3.7,3.3,3.0,4.8,4.8,3.0,"$58,262",89.9%
23029,"Washington County, ME",8.1,6.4,5.5,5.0,4.7,4.4,5.8,6.5,4.1,"$42,755",66.0%
23031,"York County, ME",5.1,3.9,3.4,3.0,2.9,2.6,5.0,4.6,2.6,"$73,794",113.8%
