,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,Median Household Income (2021),% of State Median HH Income
13031,"Bulloch County, GA",7.4,6.2,5.8,5.1,4.3,4.0,6.5,4.1,3.5,"$53,105",79.8%
13033,"Burke County, GA",10.1,8.3,7.8,7.2,6.1,5.3,7.1,5.9,5.4,"$46,977",70.6%
13035,"Butts County, GA",7.5,6.8,5.7,4.8,4.1,3.5,6.1,3.6,2.9,"$61,471",92.4%
13037,"Calhoun County, GA",7.0,6.3,5.7,5.3,4.3,3.7,5.1,4.1,3.2,"$38,232",57.5%
13039,"Camden County, GA",6.6,5.6,5.8,5.1,4.2,3.7,4.8,3.2,3.1,"$63,482",95.5%
13043,"Candler County, GA",6.9,5.8,4.9,4.1,3.4,3.1,4.4,3.1,2.5,"$41,593",62.5%
13045,"Carroll County, GA",8.2,6.8,6.1,5.1,4.0,3.6,6.3,3.7,3.2,"$59,894",90.1%
13047,"Catoosa County, GA",6.2,5.3,4.9,4.2,3.4,3.1,4.4,2.8,2.8,"$64,245",96.6%
13049,"Charlton County, GA",7.4,6.5,5.7,5.1,4.4,3.9,3.8,3.2,3.2,"$47,229",71.0%
13051,"Chatham County, GA",7.3,6.0,5.3,4.5,3.8,3.4,7.6,4.3,3.1,"$61,527",92.5%
13053,"Chattahoochee County, GA",9.7,8.9,8.4,6.9,5.5,4.7,6.3,4.6,4.7,"$53,786",80.9%
13055,"Chattooga County, GA",7.6,6.3,6.4,4.8,4.1,5.2,8.3,4.8,4.3,"$42,974",64.6%
13057,"Cherokee County, GA",5.5,4.8,4.3,3.8,3.1,2.9,4.8,2.6,2.4,"$96,997",145.8%
13059,"Clarke County, GA",7.0,6.2,5.6,4.8,4.0,3.7,6.4,3.9,3.4,"$49,145",73.9%
13061,"Clay County, GA",11.4,12.0,10.5,9.1,7.5,7.1,12.2,9.9,6.9,"$35,957",54.1%
13063,"Clayton County, GA",9.3,7.8,6.7,5.9,4.9,4.4,10.3,6.3,4.1,"$51,422",77.3%
13065,"Clinch County, GA",8.4,7.1,6.2,5.6,4.5,3.8,3.9,3.0,2.8,"$44,799",67.4%
13067,"Cobb County, GA",5.9,5.2,4.7,4.1,3.5,3.1,5.9,3.3,2.7,"$87,532",131.6%
13069,"Coffee County, GA",8.2,6.8,5.9,5.1,4.5,4.0,5.8,4.1,3.7,"$36,708",55.2%
13071,"Colquitt County, GA",8.1,6.5,5.3,4.5,3.8,3.2,4.5,3.3,2.9,"$44,485",66.9%
13073,"Columbia County, GA",5.8,5.1,4.7,4.2,3.5,3.2,4.2,2.8,2.9,"$87,281",131.2%
13075,"Cook County, GA",8.1,6.8,5.5,4.6,3.8,3.5,4.8,3.5,3.2,"$44,995",67.7%
13077,"Coweta County, GA",6.2,5.4,5.0,4.2,3.5,3.1,6.1,3.4,2.8,"$85,182",128.1%
13079,"Crawford County, GA",7.5,6.4,6.0,5.0,4.2,3.7,5.1,3.8,3.2,"$54,442",81.9%
13081,"Crisp County, GA",8.9,7.0,6.1,5.2,4.9,4.0,9.0,8.6,4.4,"$41,505",62.4%
13083,"Dade County, GA",6.3,5.6,5.1,4.4,3.7,3.4,4.1,2.7,2.7,"$64,054",96.3%
13085,"Dawson County, GA",6.1,5.2,4.7,3.9,3.3,2.9,4.6,2.7,2.5,"$76,903",115.6%
13087,"Decatur County, GA",8.2,6.9,6.7,5.6,4.7,3.9,4.8,3.7,3.4,"$42,960",64.6%
13089,"DeKalb County, GA",7.3,6.1,5.5,4.8,4.1,3.6,7.9,4.6,3.2,"$70,756",106.4%
13091,"Dodge County, GA",9.8,8.5,7.4,6.3,5.2,5.5,6.0,4.3,3.9,"$40,856",61.4%
13093,"Dooly County, GA",9.6,7.7,5.9,5.1,4.7,3.9,9.0,7.5,4.1,"$43,270",65.1%
13095,"Dougherty County, GA",9.3,7.9,6.9,6.1,5.4,4.8,8.6,6.3,4.5,"$41,985",63.1%
13097,"Douglas County, GA",7.4,6.5,5.6,4.9,4.2,3.7,7.3,4.3,3.4,"$66,162",99.5%
13099,"Early County, GA",9.0,7.1,7.0,5.5,4.6,4.0,5.7,5.0,3.9,"$38,817",58.4%
13101,"Echols County, GA",5.9,4.8,4.4,4.0,3.2,2.9,3.9,2.8,2.5,"$42,241",63.5%
13103,"Effingham County, GA",6.2,5.2,4.9,4.1,3.3,2.9,4.9,3.0,2.6,"$76,626",115.2%
13105,"Elbert County, GA",8.7,7.6,6.6,5.3,4.8,4.0,6.9,4.9,3.8,"$42,866",64.5%
13107,"Emanuel County, GA",10.5,8.9,7.8,6.7,6.0,5.5,7.0,5.2,4.2,"$45,252",68.0%
13109,"Evans County, GA",6.5,5.7,5.0,4.4,3.7,3.5,5.1,3.6,3.0,"$41,847",62.9%
